benchmark,case,time_ms,time_ms_stddev,time_ms_min,time_ms_max,time_ms_runs,device_allocation_bytes,device_allocation_mib,relative_residual,relative_error,solution_l2_error_vs_double,solution_linf_error_vs_double,output_delta_mse_vs_double,output_delta_l2_error_vs_double,output_delta_linf_error_vs_double,output_l2_error_vs_double,output_linf_error_vs_double,warmup_runs,measured_runs
dense_lu,double,397.396932,1.96677475,396.102936,399.660217,3,200020016,190.753952,6.307961e-15,6.322394e-15,0,0,,,,,,1,3
dense_lu,digit1_1,188.199107,0.329731862,187.818405,188.394211,3,50020016,47.702805,2.963313e-04,2.967942e-04,0.000296794173,0.000574280328,,,,,,1,3
dense_lu,digit1_10,236.605062,1.79729224,235.085892,238.589127,3,100020016,95.386520,1.793908e-06,1.793965e-06,1.79396463e-06,3.36493865e-06,,,,,,1,3
dense_lu,digit1_2,235.238836,0.951299105,234.597534,236.331833,3,100020016,95.386520,1.793908e-06,1.793965e-06,1.79396463e-06,3.36493865e-06,,,,,,1,3
dense_lu,digit1_3,235.945628,2.21466753,234.254471,238.452454,3,100020016,95.386520,1.793908e-06,1.793965e-06,1.79396463e-06,3.36493865e-06,,,,,,1,3
dense_lu,digit1_4,237.284226,1.61964677,235.479172,238.610535,3,100020016,95.386520,1.793908e-06,1.793965e-06,1.79396463e-06,3.36493865e-06,,,,,,1,3
dense_lu,digit1_5,237.819733,1.6779684,235.889343,238.929062,3,100020016,95.386520,1.793908e-06,1.793965e-06,1.79396463e-06,3.36493865e-06,,,,,,1,3
dense_lu,digit1_6,236.533361,2.41190928,234.485306,239.191833,3,100020016,95.386520,1.793908e-06,1.793965e-06,1.79396463e-06,3.36493865e-06,,,,,,1,3
dense_lu,digit1_7,236.263901,2.33314728,234.84198,238.956573,3,100020016,95.386520,1.793908e-06,1.793965e-06,1.79396463e-06,3.36493865e-06,,,,,,1,3
dense_lu,digit1_8,236.285054,2.4835659,234.568771,239.132889,3,100020016,95.386520,1.793908e-06,1.793965e-06,1.79396463e-06,3.36493865e-06,,,,,,1,3
dense_lu,digit1_9,263.576467,45.6158095,235.730179,316.219635,3,100020016,95.386520,1.793908e-06,1.793965e-06,1.79396463e-06,3.36493865e-06,,,,,,1,3
dense_lu,digit2_1,188.129847,0.0865388493,188.040253,188.212967,3,50020016,47.702805,2.963313e-04,2.967942e-04,0.000296794173,0.000574280328,,,,,,1,3
dense_lu,digit2_10,236.932297,1.93242656,234.705978,238.175461,3,100020016,95.386520,1.793908e-06,1.793965e-06,1.79396463e-06,3.36493865e-06,,,,,,1,3
dense_lu,digit2_2,238.931188,0.542455729,238.372101,239.455322,3,100020016,95.386520,1.793908e-06,1.793965e-06,1.79396463e-06,3.36493865e-06,,,,,,1,3
dense_lu,digit2_3,235.192169,0.793698093,234.368988,235.952667,3,100020016,95.386520,1.793908e-06,1.793965e-06,1.79396463e-06,3.36493865e-06,,,,,,1,3
dense_lu,digit2_4,237.277888,1.92867981,235.057861,238.540924,3,100020016,95.386520,1.793908e-06,1.793965e-06,1.79396463e-06,3.36493865e-06,,,,,,1,3
dense_lu,digit2_5,238.598246,0.315820312,238.303482,238.93158,3,100020016,95.386520,1.793908e-06,1.793965e-06,1.79396463e-06,3.36493865e-06,,,,,,1,3
dense_lu,digit2_6,235.858647,0.615440467,235.333511,236.535873,3,100020016,95.386520,1.793908e-06,1.793965e-06,1.79396463e-06,3.36493865e-06,,,,,,1,3
dense_lu,digit2_7,238.704157,0.19174401,238.500671,238.88147,3,100020016,95.386520,1.793908e-06,1.793965e-06,1.79396463e-06,3.36493865e-06,,,,,,1,3
dense_lu,digit2_8,236.048543,2.20538788,234.535965,238.579041,3,100020016,95.386520,1.793908e-06,1.793965e-06,1.79396463e-06,3.36493865e-06,,,,,,1,3
dense_lu,digit2_9,236.255818,2.08701683,234.847778,238.653564,3,100020016,95.386520,1.793908e-06,1.793965e-06,1.79396463e-06,3.36493865e-06,,,,,,1,3
