benchmark,case,precision,input_size,time_ms,time_ms_stddev,time_ms_min,time_ms_max,time_ms_runs,device_allocation_bytes,device_allocation_mib,speedup_vs_double,speedup_vs_double_stddev,time_ratio_vs_double,time_ratio_vs_double_stddev,memory_ratio_vs_double,relative_residual,relative_error,solution_l2_error_vs_double,solution_linf_error_vs_double,output_delta_mse_vs_double,output_delta_l2_error_vs_double,output_delta_linf_error_vs_double,output_l2_error_vs_double,output_linf_error_vs_double,warmup_runs,measured_runs
backprop,double,double,262144,36.3850453,0.01001787,36.375839,36.395714,3,73401480,70.001106,1,0,1,0,1,,,,,0,0,0,,,1,3
backprop,digit1_1,mixed,262144,26.7616433,0.25220879,26.485537,26.979904,3,42205840,40.250626,1.35959683,0.0128186663,0.735512161,0.00693461824,0.57499985,,,,,5.64762504e-09,0.00226652422,0.00226652422,,,1,3
backprop,digit1_2,mixed,262144,26.8918623,0.158343868,26.709633,26.995905,3,42205844,40.250629,1.35301322,0.00797547725,0.739091077,0.00435664926,0.574999905,,,,,1.83867086e-11,0.000129324091,0.000129324091,,,1,3
backprop,digit1_3,mixed,262144,26.696736,0.316970162,26.337376,26.936544,3,42205844,40.250629,1.36290239,0.016186081,0.733728261,0.00871389259,0.574999905,,,,,1.83867086e-11,0.000129324091,0.000129324091,,,1,3
backprop,digit1_4,mixed,262144,26.7630183,0.293773551,26.47168,27.059168,3,42205856,40.250641,1.35952697,0.014928013,0.735549951,0.00807655857,0.575000068,,,,,6.43760141e-11,0.000241985576,0.000241985576,,,1,3
backprop,digit1_5,mixed,262144,26.8987303,0.0279353156,26.866655,26.917728,3,42205868,40.250652,1.35266776,0.00145332458,0.739279835,0.000794292275,0.575000232,,,,,1.90449513e-15,1.31618631e-06,1.31618631e-06,,,1,3
backprop,digit1_6,mixed,262144,26.776128,0.227684783,26.541759,26.996481,3,42205868,40.250652,1.35886134,0.0115608274,0.735910256,0.00626092681,0.575000232,,,,,1.90449513e-15,1.31618631e-06,1.31618631e-06,,,1,3
backprop,digit2_1,mixed,262144,26.9432857,0.09550501,26.840704,27.029633,3,42205840,40.250626,1.35043089,0.00480124797,0.740504388,0.00263274871,0.57499985,,,,,5.64762504e-09,0.00226652422,0.00226652422,,,1,3
backprop,digit2_2,mixed,262144,27.1213327,0.142486222,26.973375,27.257631,3,42205844,40.250629,1.34156554,0.00705779953,0.745397799,0.00392143961,0.574999905,,,,,1.83867086e-11,0.000129324091,0.000129324091,,,1,3
backprop,digit2_3,mixed,262144,26.875157,0.0162335143,26.861536,26.89312,3,42205844,40.250629,1.35385424,0.000898722228,0.738631951,0.00049032232,0.574999905,,,,,1.83867086e-11,0.000129324091,0.000129324091,,,1,3
backprop,digit2_4,mixed,262144,26.762826,0.285867256,26.432735,26.928064,3,42205856,40.250641,1.35953674,0.0145267218,0.735544666,0.00785933356,0.575000068,,,,,6.43760141e-11,0.000241985576,0.000241985576,,,1,3
backprop,digit2_5,mixed,262144,26.958987,0.140181729,26.83568,27.111456,3,42205868,40.250652,1.34964438,0.0070277314,0.74093592,0.00385812641,0.575000232,,,,,1.90449513e-15,1.31618631e-06,1.31618631e-06,,,1,3
backprop,digit2_6,mixed,262144,26.731104,0.356168336,26.331713,27.015776,3,42205868,40.250652,1.36115012,0.018139994,0.734672824,0.00979095579,0.575000232,,,,,1.90449513e-15,1.31618631e-06,1.31618631e-06,,,1,3
