benchmark,case,time_ms,time_ms_stddev,time_ms_min,time_ms_max,time_ms_runs,device_allocation_bytes,device_allocation_mib,relative_residual,relative_error,solution_l2_error_vs_double,solution_linf_error_vs_double,output_delta_mse_vs_double,output_delta_l2_error_vs_double,output_delta_linf_error_vs_double,output_l2_error_vs_double,output_linf_error_vs_double,warmup_runs,measured_runs
backprop,double,36.3850453,0.01001787,36.375839,36.395714,3,73401480,70.001106,,,,,0,0,0,,,1,3
backprop,digit1_1,26.7616433,0.25220879,26.485537,26.979904,3,42205840,40.250626,,,,,5.64762504e-09,0.00226652422,0.00226652422,,,1,3
backprop,digit1_2,26.8918623,0.158343868,26.709633,26.995905,3,42205844,40.250629,,,,,1.83867086e-11,0.000129324091,0.000129324091,,,1,3
backprop,digit1_3,26.696736,0.316970162,26.337376,26.936544,3,42205844,40.250629,,,,,1.83867086e-11,0.000129324091,0.000129324091,,,1,3
backprop,digit1_4,26.7630183,0.293773551,26.47168,27.059168,3,42205856,40.250641,,,,,6.43760141e-11,0.000241985576,0.000241985576,,,1,3
backprop,digit1_5,26.8987303,0.0279353156,26.866655,26.917728,3,42205868,40.250652,,,,,1.90449513e-15,1.31618631e-06,1.31618631e-06,,,1,3
backprop,digit1_6,26.776128,0.227684783,26.541759,26.996481,3,42205868,40.250652,,,,,1.90449513e-15,1.31618631e-06,1.31618631e-06,,,1,3
backprop,digit2_1,26.9432857,0.09550501,26.840704,27.029633,3,42205840,40.250626,,,,,5.64762504e-09,0.00226652422,0.00226652422,,,1,3
backprop,digit2_2,27.1213327,0.142486222,26.973375,27.257631,3,42205844,40.250629,,,,,1.83867086e-11,0.000129324091,0.000129324091,,,1,3
backprop,digit2_3,26.875157,0.0162335143,26.861536,26.89312,3,42205844,40.250629,,,,,1.83867086e-11,0.000129324091,0.000129324091,,,1,3
backprop,digit2_4,26.762826,0.285867256,26.432735,26.928064,3,42205856,40.250641,,,,,6.43760141e-11,0.000241985576,0.000241985576,,,1,3
backprop,digit2_5,26.958987,0.140181729,26.83568,27.111456,3,42205868,40.250652,,,,,1.90449513e-15,1.31618631e-06,1.31618631e-06,,,1,3
backprop,digit2_6,26.731104,0.356168336,26.331713,27.015776,3,42205868,40.250652,,,,,1.90449513e-15,1.31618631e-06,1.31618631e-06,,,1,3
