benchmark,case,time_ms,time_ms_stddev,time_ms_min,time_ms_max,time_ms_runs,device_allocation_bytes,device_allocation_mib,relative_residual,relative_error,solution_l2_error_vs_double,solution_linf_error_vs_double,output_delta_mse_vs_double,output_delta_l2_error_vs_double,output_delta_linf_error_vs_double,output_l2_error_vs_double,output_linf_error_vs_double,warmup_runs,measured_runs
dense_lu,double,397.281128,2.39448039,395.785828,400.042877,3,200020016,190.753952,6.307961e-15,6.322394e-15,0,0,,,,,,1,3
dense_lu,digit1_1,186.545614,2.22970899,183.971268,187.866852,3,50020016,47.702805,2.963313e-04,2.967942e-04,0.000296794173,0.000574280328,,,,,,1,3
dense_lu,digit1_10,238.113235,1.33294552,236.574371,238.908478,3,100020016,95.386520,1.793908e-06,1.793965e-06,1.79396463e-06,3.36493865e-06,,,,,,1,3
dense_lu,digit1_2,237.735926,1.47421255,236.074112,238.886337,3,100020016,95.386520,1.793908e-06,1.793965e-06,1.79396463e-06,3.36493865e-06,,,,,,1,3
dense_lu,digit1_3,237.513331,1.69143241,235.565475,238.611099,3,100020016,95.386520,1.793908e-06,1.793965e-06,1.79396463e-06,3.36493865e-06,,,,,,1,3
dense_lu,digit1_4,237.915268,1.77139093,235.876678,239.079269,3,100020016,95.386520,1.793908e-06,1.793965e-06,1.79396463e-06,3.36493865e-06,,,,,,1,3
dense_lu,digit1_5,237.583405,2.23161542,235.009308,238.973541,3,100020016,95.386520,1.793908e-06,1.793965e-06,1.79396463e-06,3.36493865e-06,,,,,,1,3
dense_lu,digit1_6,235.096232,0.0458920763,235.048325,235.139801,3,100020016,95.386520,1.793908e-06,1.793965e-06,1.79396463e-06,3.36493865e-06,,,,,,1,3
dense_lu,digit1_7,236.136485,2.00148907,234.770233,238.433914,3,100020016,95.386520,1.793908e-06,1.793965e-06,1.79396463e-06,3.36493865e-06,,,,,,1,3
dense_lu,digit1_8,238.77774,0.628080925,238.05571,239.19783,3,100020016,95.386520,1.793908e-06,1.793965e-06,1.79396463e-06,3.36493865e-06,,,,,,1,3
dense_lu,digit1_9,238.477402,0.253244756,238.20784,238.710342,3,100020016,95.386520,1.793908e-06,1.793965e-06,1.79396463e-06,3.36493865e-06,,,,,,1,3
dense_lu,digit2_1,185.403748,2.16176582,183.752869,187.850662,3,50020016,47.702805,2.963313e-04,2.967942e-04,0.000296794173,0.000574280328,,,,,,1,3
dense_lu,digit2_10,237.390315,1.54735858,235.678406,238.689377,3,100020016,95.386520,1.793908e-06,1.793965e-06,1.79396463e-06,3.36493865e-06,,,,,,1,3
dense_lu,digit2_2,238.350088,0.439907188,237.843033,238.629883,3,100020016,95.386520,1.793908e-06,1.793965e-06,1.79396463e-06,3.36493865e-06,,,,,,1,3
dense_lu,digit2_3,235.509171,0.860035425,234.579361,236.276154,3,100020016,95.386520,1.793908e-06,1.793965e-06,1.79396463e-06,3.36493865e-06,,,,,,1,3
dense_lu,digit2_4,236.637634,2.42546901,234.878433,239.40451,3,100020016,95.386520,1.793908e-06,1.793965e-06,1.79396463e-06,3.36493865e-06,,,,,,1,3
dense_lu,digit2_5,238.713282,0.105360497,238.63623,238.833344,3,100020016,95.386520,1.793908e-06,1.793965e-06,1.79396463e-06,3.36493865e-06,,,,,,1,3
dense_lu,digit2_6,236.581192,1.79209343,234.976761,238.515198,3,100020016,95.386520,1.793908e-06,1.793965e-06,1.79396463e-06,3.36493865e-06,,,,,,1,3
dense_lu,digit2_7,235.129003,0.753323871,234.307236,235.786911,3,100020016,95.386520,1.793908e-06,1.793965e-06,1.79396463e-06,3.36493865e-06,,,,,,1,3
dense_lu,digit2_8,237.570765,1.69162937,235.626755,238.707779,3,100020016,95.386520,1.793908e-06,1.793965e-06,1.79396463e-06,3.36493865e-06,,,,,,1,3
dense_lu,digit2_9,236.811966,1.63902692,235.195068,238.47226,3,100020016,95.386520,1.793908e-06,1.793965e-06,1.79396463e-06,3.36493865e-06,,,,,,1,3
